Country/Region,Lat,Long,Total  Cases
Afghanistan,33.93911,67.709953,39145
Albania,41.1533,20.1683,12787
Algeria,28.0339,1.6596,50400
Andorra,42.5063,1.5218,1753
Angola,-11.2027,17.8739,4363
Antigua and Barbuda,17.0608,-61.7964,97
Argentina,-38.4161,-63.6167,664799
Armenia,40.0691,45.0382,47877
Australia,-35.4735,149.0124,113
Australia,-33.8688,151.2093,4213
Australia,-12.4634,130.8456,33
Australia,-27.4698,153.0251,1153
Australia,-34.9285,138.6007,468
Australia,-42.8821,147.3272,230
Australia,-37.8136,144.9631,20105
Australia,-31.9505,115.8605,665
Austria,47.5162,14.5501,39984
Azerbaijan,40.1431,47.5769,39524
Bahamas,25.025885,-78.035889,3618
Bahrain,26.0275,50.55,67014
Bangladesh,23.685,90.3563,353844
Barbados,13.1939,-59.5432,189
Belarus,53.7098,27.9534,76357
Belgium,50.8333,4.469936,106887
Belize,17.1899,-88.4976,1706
Benin,9.3077,2.3158,2325
Bhutan,27.5142,90.4336,261
Bolivia,-16.2902,-63.5887,131990
Bosnia and Herzegovina,43.9159,17.6791,26081
Botswana,-22.3285,24.6849,2567
Brazil,-14.235,-51.9253,4591364
Brunei,4.5353,114.7277,145
Bulgaria,42.7339,25.4858,19283
Burkina Faso,12.2383,-1.5616,1929
Burma,21.9162,95.956,7827
Burundi,-3.3731,29.9189,476
Cabo Verde,16.5388,-23.0418,5412
Cambodia,11.55,104.9167,275
Cameroon,3.848,11.5021,20690
Canada,53.9333,-116.5765,17032
Canada,53.7267,-127.6476,8395
Canada,0,0,0
Canada,0,0,13
Canada,53.7609,-98.8139,1674
Canada,46.5653,-66.4619,197
Canada,53.1355,-57.6604,272
Canada,64.8255,-124.8457,5
Canada,44.682,-63.7443,1087
Canada,51.2538,-85.3232,50273
Canada,46.5107,-63.4168,58
Canada,52.9399,-73.5491,69088
Canada,52.9399,-106.4509,1830
Canada,64.2823,-135,15
Central African Republic,6.6111,20.9394,4802
Chad,15.4542,18.7322,1164
Chile,-35.6751,-71.543,449903
China,31.8257,117.2264,991
China,40.1824,116.4142,935
China,30.0572,107.874,584
China,26.0789,117.9874,396
China,35.7518,104.2861,170
China,23.3417,113.4244,1807
China,23.8298,108.7881,259
China,26.8154,106.8748,147
China,19.1959,109.7453,171
China,39.549,116.1306,365
China,47.862,127.7615,948
China,37.8957,114.9042,1280
China,22.3,114.2,5049
China,30.9756,112.2707,68139
China,27.6104,111.7088,1019
China,44.0935,113.9448,263
China,32.9711,119.455,666
China,27.614,115.7221,935
China,43.6661,126.1923,157
China,41.2956,122.6085,267
China,22.1667,113.55,46
China,37.2692,106.1655,75
China,35.7452,95.9956,18
China,35.1917,108.8701,402
China,36.3427,118.1498,832
China,31.202,121.4491,977
China,37.5777,112.2922,203
China,30.6171,102.7103,675
China,39.3054,117.323,239
China,31.6927,88.0924,1
China,41.1129,85.2401,902
China,24.974,101.487,209
China,29.1832,120.0934,1282
Colombia,4.5709,-74.2973,784268
Comoros,-11.6455,43.3333,470
Congo (Brazzaville),-0.228,15.8277,5005
Congo (Kinshasa),-4.0383,21.7587,10537
Costa Rica,9.7489,-83.7534,68059
Cote d'Ivoire,7.54,-5.5471,19430
Croatia,45.1,15.2,15340
Cuba,21.521757,-77.781167,5270
Cyprus,35.1264,33.4299,1654
Czechia,49.8175,15.473,55464
Denmark,61.8926,-6.9118,451
Denmark,71.7069,-42.6043,14
Denmark,56.2639,9.5018,24357
Diamond Princess,0,0,712
Djibouti,11.8251,42.5903,5407
Dominica,15.415,-61.371,24
Dominican Republic,18.7357,-70.1627,109737
Ecuador,-1.8312,-78.1834,129892
Egypt,26.820553,30.802498,102375
El Salvador,13.7942,-88.8965,27954
Equatorial Guinea,1.6508,10.2679,5018
Eritrea,15.1794,39.7823,364
Estonia,58.5953,25.0136,3033
Eswatini,-26.5225,31.4659,5343
Ethiopia,9.145,40.4897,71083
Fiji,-17.7134,178.065,32
Finland,61.92411,25.748151,9288
France,3.9339,-53.1258,9762
France,-17.6797,149.4068,1469
France,16.265,-61.551,4487
France,14.6415,-61.0242,1290
France,-12.8275,45.166244,3541
France,-20.904305,165.618042,26
France,-21.1151,55.5364,3501
France,17.9,-62.8333,45
France,46.8852,-56.3159,12
France,18.0708,-63.0501,367
France,46.2276,2.2137,483956
Gabon,-0.8037,11.6094,8716
Gambia,13.4432,-15.3101,3542
Georgia,42.3154,43.3569,4140
Germany,51.165691,10.451526,279025
Ghana,7.9465,-1.0232,46153
Greece,39.0742,21.8243,16286
Grenada,12.1165,-61.679,24
Guatemala,15.7835,-90.2308,87442
Guinea,9.9456,-9.6966,10434
Guinea-Bissau,11.8037,-15.1804,2324
Guyana,4.860416,-58.93018,2535
Haiti,18.9712,-72.2852,8646
Holy See,41.9029,12.4534,12
Honduras,15.2,-86.2419,72675
Hungary,47.1625,19.5033,20450
Iceland,64.9631,-19.0208,2476
India,20.593684,78.96288,5646010
Indonesia,-0.7893,113.9213,257388
Iran,32.427908,53.688046,432798
Iraq,33.223191,43.679291,332635
Ireland,53.1424,-7.6921,33675
Israel,31.046051,34.851612,204690
Italy,41.87194,12.56738,302537
Jamaica,18.1096,-77.2975,5395
Japan,36.204824,138.252924,80009
Jordan,31.24,36.51,6042
Kazakhstan,48.0196,66.9237,107529
Kenya,-0.0236,37.9062,37348
"Korea, South",35.907757,127.766922,23341
Kosovo,42.602636,20.902977,12683
Kuwait,29.31166,47.481766,101299
Kyrgyzstan,41.20438,74.766098,45630
Laos,19.85627,102.495496,23
Latvia,56.8796,24.6032,1572
Lebanon,33.8547,35.8623,31792
Lesotho,-29.61,28.2336,1507
Liberia,6.428055,-9.429499,1337
Libya,26.3351,17.228331,30097
Liechtenstein,47.14,9.55,116
Lithuania,55.1694,23.8813,3932
Luxembourg,49.8153,6.1296,8090
MS Zaandam,0,0,9
Madagascar,-18.766947,46.869107,16167
Malawi,-13.2543,34.3015,5746
Malaysia,4.210484,101.975766,10505
Maldives,3.2028,73.2207,9885
Mali,17.570692,-3.996166,3034
Malta,35.9375,14.3754,2856
Mauritania,21.0079,-10.9408,7425
Mauritius,-20.348404,57.552152,367
Mexico,23.6345,-102.5528,710049
Moldova,47.4116,28.3699,48232
Monaco,43.7333,7.4167,199
Mongolia,46.8625,103.8467,313
Montenegro,42.708678,19.37439,9428
Morocco,31.7917,-7.0926,107743
Mozambique,-18.665695,35.529562,7262
Namibia,-22.9576,18.4904,10663
Nepal,28.1667,84.25,67804
Netherlands,12.5211,-69.9683,3721
Netherlands,12.1784,-68.2385,69
Netherlands,12.1696,-68.99,301
Netherlands,18.0425,-63.0548,616
Netherlands,52.1326,5.2913,100597
New Zealand,-40.9006,174.886,1827
Nicaragua,12.865416,-85.207229,5073
Niger,17.607789,8.081666,1193
Nigeria,9.082,8.6753,57724
North Macedonia,41.6086,21.7453,17049
Norway,60.472,8.4689,13277
Oman,21.512583,55.923255,95339
Pakistan,30.3753,69.3451,308217
Panama,8.538,-80.7821,107990
Papua New Guinea,-6.314993,143.95555,527
Paraguay,-23.4425,-58.4438,35571
Peru,-9.19,-75.0152,776546
Philippines,12.879721,121.774017,294591
Poland,51.9194,19.1451,81673
Portugal,39.3999,-8.2245,70465
Qatar,25.3548,51.1839,124175
Romania,45.9432,24.9668,116415
Russia,61.52401,105.318756,1117487
Rwanda,-1.9403,29.8739,4779
Saint Kitts and Nevis,17.357822,-62.782998,19
Saint Lucia,13.9094,-60.9789,27
Saint Vincent and the Grenadines,12.9843,-61.2872,64
San Marino,43.9424,12.4578,723
Sao Tome and Principe,0.1864,6.6131,908
Saudi Arabia,23.885942,45.079162,331359
Senegal,14.4974,-14.4524,14795
Serbia,44.0165,21.0059,33080
Seychelles,-4.6796,55.492,143
Sierra Leone,8.460555,-11.779889,2183
Singapore,1.2833,103.8333,57639
Slovakia,48.669,19.699,7269
Slovenia,46.1512,14.9955,4694
Somalia,5.152149,46.199616,3465
South Africa,-30.5595,22.9375,665188
South Sudan,6.877,31.307,2664
Spain,40.463667,-3.74922,693556
Sri Lanka,7.873054,80.771797,3324
Sudan,12.8628,30.2176,13578
Suriname,3.9193,-56.0278,4779
Sweden,60.128161,18.643501,89756
Switzerland,46.8182,8.2275,51101
Syria,34.802075,38.996815,3924
Taiwan*,23.7,121,509
Tajikistan,38.861,71.2761,9475
Tanzania,-6.369028,34.888822,509
Thailand,15.870032,100.992541,3516
Timor-Leste,-8.874217,125.727539,27
Togo,8.6195,0.8248,1701
Trinidad and Tobago,10.6918,-61.2225,4136
Tunisia,33.886917,9.537499,12479
Turkey,38.9637,35.2433,308069
US,40,-100,6933548
Uganda,1.373333,32.290275,6879
Ukraine,48.3794,31.1656,189488
United Arab Emirates,23.424076,53.847818,87530
United Kingdom,18.2206,-63.0686,3
United Kingdom,32.3078,-64.7505,181
United Kingdom,18.4207,-64.64,69
United Kingdom,19.3133,-81.2546,210
United Kingdom,49.3723,-2.3644,654
United Kingdom,-51.7963,-59.5236,13
United Kingdom,36.1408,-5.3536,357
United Kingdom,54.2361,-4.5481,340
United Kingdom,16.742498,-62.187366,13
United Kingdom,21.694,-71.7979,676
United Kingdom,55.3781,-3.436,409729
Uruguay,-32.5228,-55.7658,1946
Uzbekistan,41.377491,64.585262,53275
Venezuela,6.4238,-66.5897,69439
Vietnam,14.058324,108.277199,1069
West Bank and Gaza,31.9522,35.2332,37083
Western Sahara,24.2155,-12.8858,10
Yemen,15.552727,48.516388,2029
Zambia,-13.133897,27.849332,14443
Zimbabwe,-19.015438,29.154857,7725
